id,person_id,zone,timestamp
1,9,Zone 4,2025-05-17T13:31:54.750503
2,9,Zone 4,2025-05-17T13:31:56.962216
3,9,Zone 4,2025-05-17T13:31:59.202014
4,9,Zone 4,2025-05-17T13:32:01.412928
5,9,Zone 5,2025-05-17T13:32:04.575966
6,9,Zone 5,2025-05-17T13:32:06.790474
7,17,Zone 4,2025-05-17T13:32:09.118431
8,17,Zone 4,2025-05-17T13:32:11.285650
9,17,Zone 4,2025-05-17T13:32:13.522342
10,17,Zone 4,2025-05-17T13:32:16.014379
11,17,Zone 4,2025-05-17T13:32:18.221834
12,17,Zone 4,2025-05-17T13:32:20.427418
13,9,Zone 4,2025-05-17T13:32:23.026114
14,9,Zone 4,2025-05-17T13:32:25.254703
15,9,Zone 4,2025-05-17T13:32:27.441102
16,9,Zone 4,2025-05-17T13:32:29.667896
17,9,Zone 4,2025-05-17T13:32:31.854077
18,9,Zone 4,2025-05-17T13:32:34.033271
